"","Country","cases","lat","lng"
"1","Geneva",76,46.2017559,6.1466014
"2","Vaud",156,46.6356963,6.5320717
"3","Basel City",80,47.5579097,7.5927728
"4","Aargau",22,47.412396,8.1948321
"5","Zurich",91,47.3723941,8.5423328
"6","Ticino",170,46.3356506,8.753706
"7","Graubünden",28,46.6960615,9.6027351
"8","Valais",23,46.2303063,7.6605757
"9","Basel Country",29,47.4839723,7.7347783
"10","Bern",51,46.8739775,7.5631943
"11","Fribourg",26,46.6789116,7.1027113
"12","Zug",11,47.1486137,8.5539378
"13","Schwyz",9,47.0571976,8.7222073
"14","Neuchâtel",33,46.9895828,6.9292641
"15","St. Gallen",14,47.2033184,9.3507024
"16","Lucerne",8,47.0505452,8.3054682
"17","Appenzell Ausserrhoden",2,47.3960076,9.3705839
"18","Jura",7,47.3370866,7.2440935
"19","Thurgau",5,47.5859649,9.1428769
"20","Solothurn",7,47.31874,7.6698284
"21","Appenzell Innerrhoden",0,47.3007262,9.3991527
"22","Glarus",2,46.9796562,9.108812
"23","Schaffhausen",1,47.7151451,8.519796
"24","Nidwalden",4,46.942756,8.4119773
"25","Afghanistan",7,33,65
"26","Albania",12,41,20
"27","Algeria",20,28,3
"28","Andorra",1,42.5,1.6
"29","Argentina",19,-34,-64
"30","Armenia",1,40,45
"31","Australia",128,-27,133
"32","Austria",246,47.3333,13.3333
"33","Azerbaijan",11,40.5,47.5
"34","Bahrain",195,26,50.55
"35","Bangladesh",3,24,90
"36","Belarus",9,53,28
"37","Belgium",314,50.8333,4
"38","Bhutan",1,27.5,90.5
"39","Bolivia",2,-17,-65
"40","Bosnia and Herzegovina",7,44,18
"41","Brazil",38,-10,-55
"42","Brunei",11,4.5,114.6667
"43","Bulgaria",7,43,25
"44","Burkina Faso",2,13,-2
"45","Cambodia",3,13,105
"46","Cameroon",2,6,12
"47","Canada",108,60,-95
"48","Chile",23,-30,-71
"49","China",80921,35,105
"50","Colombia",9,4,-72
"51","Congo",1,-1,15
"52","Costa Rica",13,10,-84
"53","Côte d'Ivoire",1,8,-5
"54","Croatia",19,45.1667,15.5
"55","Cyprus",6,35,33
"56","Czech Republic",91,49.75,15.5
"57","Denmark",444,56,10
"58","Dominican Republic",5,19,-70.6667
"59","Ecuador",17,-2,-77.5
"60","Egypt",60,27,30
"61","Estonia",16,59,26
"62","Finland",59,64,26
"63","France",2284,46,2
"64","French Guiana",5,4,-53
"65","Georgia",24,42,43.5
"66","Germany",1908,51,9
"67","Greece",99,39,22
"68","Holy See (Vatican City State)",1,41.9,12.45
"69","Honduras",2,15,-86.5
"70","Hungary",13,47,20
"71","Iceland",85,65,-18
"72","India",62,20,77
"73","Indonesia",34,-5,120
"74","Iran, Islamic Republic of",9000,32,53
"75","Iraq",71,33,44
"76","Ireland",43,53,-8
"77","Israel",109,31.5,34.75
"78","Italy",12462,42.8333,12.8333
"79","Jamaica",1,18.25,-77.5
"80","Japan",639,36,138
"81","Jordan",1,31,36
"82","Korea, Republic of",7755,37,127.5
"83","Kuwait",72,29.3375,47.6581
"84","Latvia",10,57,25
"85","Lebanon",61,33.8333,35.8333
"86","Liechtenstein",1,47.1667,9.5333
"87","Lithuania",3,56,24
"88","Luxembourg",7,49.75,6.1667
"89","Macedonia, the former Yugoslav Republic of",7,41.8333,22
"90","Malaysia",149,2.5,112.5
"91","Maldives",8,3.25,73
"92","Malta",6,35.8333,14.5833
"93","Martinique",3,14.6667,-61
"94","Mexico",8,23,-102
"95","Moldova, Republic of",3,47,29
"96","Monaco",1,43.7333,7.4
"97","Mongolia",1,46,105
"98","Morocco",5,32,-5
"99","Nepal",1,28,84
"100","Netherlands",503,52.5,5.75
"101","New Zealand",5,-41,174
"102","Nigeria",2,10,8
"103","Norway",598,62,10
"104","Oman",18,21,57
"105","Pakistan",19,30,70
"106","Palestinian Territory, Occupied",0,32,35.25
"107","Panama",8,9,-80
"108","Paraguay",5,-23,-58
"109","Peru",11,-10,-76
"110","Philippines",49,13,122
"111","Poland",31,52,20
"112","Portugal",59,39.5,-8
"113","Qatar",262,25.5,51.25
"114","Réunion",1,-21.1,55.6
"115","Romania",45,46,25
"116","Russia",20,60,100
"117","San Marino",62,43.7667,12.4167
"118","Saudi Arabia",21,25,45
"119","Senegal",4,14,-14
"120","Serbia",12,44,21
"121","Singapore",178,1.3667,103.8
"122","Slovakia",10,48.6667,19.5
"123","Slovenia",57,46,15
"124","South Africa",13,-29,24
"125","Spain",2277,40,-4
"126","Sri Lanka",2,7,81
"127","Sweden",500,62,15
"128","Taiwan",48,23.5,121
"129","Thailand",59,15,100
"130","Togo",1,8,1.1667
"131","Tunisia",7,34,9
"132","Turkey",1,39,35
"133","Ukraine",1,49,32
"134","United Arab Emirates",74,24,54
"135","United Kingdom",459,54,-2
"136","United States",1281,38,-97
"137","Vietnam",38,16,106
