"","Country","cases","deaths","lat","lng"
"1","Unasigned",1431,0,46.9667,8.6
"2","Geneva",107,1,46.2017559,6.1466014
"3","Vaud",273,3,46.6356963,6.5320717
"4","Basel City",119,4,47.5579097,7.5927728
"5","Aargau",31,0,47.412396,8.1948321
"6","Zurich",294,1,47.3723941,8.5423328
"7","Ticino",330,6,46.3356506,8.753706
"8","Graubünden",47,0,46.6960615,9.6027351
"9","Valais",47,1,46.2303063,7.6605757
"10","Basel Country",48,2,47.4839723,7.7347783
"11","Bern",104,1,46.8739775,7.5631943
"12","Fribourg",38,0,46.6789116,7.1027113
"13","Zug",13,0,47.1486137,8.5539378
"14","Schwyz",9,0,47.0571976,8.7222073
"15","Neuchâtel",39,0,46.9895828,6.9292641
"16","St. Gallen",26,0,47.2033184,9.3507024
"17","Lucerne",26,0,47.0505452,8.3054682
"18","Appenzell Ausserrhoden",5,0,47.3960076,9.3705839
"19","Jura",10,0,47.3370866,7.2440935
"20","Thurgau",5,0,47.5859649,9.1428769
"21","Solothurn",10,0,47.31874,7.6698284
"22","Appenzell Innerrhoden",2,0,47.3007262,9.3991527
"23","Glarus",2,0,46.9796562,9.108812
"24","Schaffhausen",1,0,47.7151451,8.519796
"25","Nidwalden",8,0,46.942756,8.4119773
"26","Obwalden",1,0,46.8613857,8.2067825
"27","Uri",2,0,46.7864413,8.6420159
"28","Afghanistan",22,0,33,65
"29","Albania",55,1,41,20
"30","Algeria",60,4,28,3
"31","Andorra",39,0,42.5,1.6
"32","Antigua and Barbuda",1,0,17.05,-61.8
"33","Argentina",68,2,-34,-64
"34","Armenia",78,0,40,45
"35","Aruba",3,0,12.5,-69.9667
"36","Australia",452,5,-27,133
"37","Austria",1332,3,47.3333,13.3333
"38","Azerbaijan",28,1,40.5,47.5
"39","Bahamas",1,0,24.25,-76
"40","Bahrain",228,1,26,50.55
"41","Bangladesh",10,0,24,90
"42","Barbados",2,0,13.1667,-59.5333
"43","Belarus",36,0,53,28
"44","Belgium",1243,10,50.8333,4
"45","Benin",1,0,9.5,2.25
"46","Bhutan",1,0,27.5,90.5
"47","Bolivia",11,0,-17,-65
"48","Bosnia and Herzegovina",26,0,44,18
"49","Brazil",321,1,-10,-55
"50","Brunei",56,0,4.5,114.6667
"51","Bulgaria",67,2,43,25
"52","Burkina Faso",15,0,13,-2
"53","Cambodia",33,0,13,105
"54","Cameroon",10,0,6,12
"55","Canada",478,5,60,-95
"56","Central African Republic",1,0,7,21
"57","Chile",201,0,-30,-71
"58","China",81058,3230,35,105
"59","Colombia",65,0,4,-72
"60","Congo",1,0,-1,15
"61","Congo, the Democratic Republic of the",3,0,0,25
"62","Costa Rica",41,0,10,-84
"63","Côte d'Ivoire",5,0,8,-5
"64","Croatia",65,0,45.1667,15.5
"65","Cuba",5,0,21.5,-80
"66","Cyprus",46,0,35,33
"67","Czech Republic",396,0,49.75,15.5
"68","Denmark",1024,4,56,10
"69","Dominican Republic",21,1,19,-70.6667
"70","Ecuador",58,2,-2,-77.5
"71","Egypt",196,4,27,30
"72","Equatorial Guinea",1,0,2,10
"73","Estonia",225,0,59,26
"74","Ethiopia",5,0,8,38
"75","Finland",321,0,64,26
"76","France",7683,148,46,2
"77","French Guiana",11,0,4,-53
"78","Gabon",1,0,-1,11.75
"79","Gambia",1,0,13.4667,-16.5667
"80","Georgia",34,0,42,43.5
"81","Germany",9257,24,51,9
"82","Ghana",7,0,8,-2
"83","Greece",387,5,39,22
"84","Greenland",1,0,72,-40
"85","Guadeloupe",18,0,16.25,-61.5833
"86","Guam",3,0,13.4667,144.7833
"87","Guatemala",6,1,15.5,-90.25
"88","Guernsey",0,0,49.5,-2.56
"89","Guinea",1,0,11,-10
"90","Guyana",7,1,5,-59
"91","Holy See (Vatican City State)",1,0,41.9,12.45
"92","Honduras",8,0,15,-86.5
"93","Hungary",50,1,47,20
"94","Iceland",220,1,65,-18
"95","India",142,3,20,77
