"","country","cases","rate","lat","lng"
"1","Afghanistan",55265,34,33.93911,67.709953
"2","Albania",83082,1089,41.1533,20.1683
"3","Algeria",108629,248,28.0339,1.6596
"4","Andorra",10172,35,42.5063,1.5218
"5","Angola",20030,34,-11.2027,17.8739
"6","Antigua and Barbuda",277,9,17.0608,-61.7964
"7","Argentina",1970009,8374,-38.4161,-63.6167
"8","Armenia",167726,158,40.0691,45.0382
"9","Australia",118,0,-35.4735,149.0124
"10","Australia",5119,2,-33.8688,151.2093
"11","Australia",101,2,-12.4634,130.8456
"12","Australia",1311,2,-27.4698,153.0251
"13","Australia",602,0,-34.9285,138.6007
"14","Australia",234,0,-42.8821,147.3272
"15","Australia",20456,0,-37.8136,144.9631
"16","Australia",907,0,-31.9505,115.8605
"17","Austria",421189,1388,47.5162,14.5501
"18","Azerbaijan",230907,138,40.1431,47.5769
"19","Bahamas",8256,9,25.025885,-78.035889
"20","Bahrain",106198,702,26.0275,50.55
"21","Bangladesh",537465,435,23.685,90.3563
"22","Barbados",1656,15,13.1939,-59.5432
"23","Belarus",255172,1759,53.7098,27.9534
"24","Belgium",721432,2585,50.8333,4.469936
"25","Belize",12013,5,17.1899,-88.4976
"26","Benin",4193,74,9.3077,2.3158
"27","Bhutan",861,2,27.5142,90.4336
"28","Bolivia",225910,1676,-16.2902,-63.5887
"29","Bosnia and Herzegovina",123434,606,43.9159,17.6791
"30","Botswana",23503,0,-22.3285,24.6849
"31","Brazil",9447165,50872,-14.235,-51.9253
"32","Brunei",180,0,4.5353,114.7277
"33","Bulgaria",223059,910,42.7339,25.4858
"34","Burkina Faso",11143,90,12.2383,-1.5616
"35","Burma",141304,200,21.9162,95.956
"36","Burundi",1698,12,-3.3731,29.9189
"37","Cabo Verde",14306,16,16.5388,-23.0418
"38","Cambodia",472,2,11.55,104.9167
"39","Cameroon",30313,0,3.848,11.5021
"40","Canada",126068,396,53.9333,-116.5765
"41","Canada",69716,471,53.7267,-127.6476
"42","Canada",0,0,0,0
"43","Canada",13,0,0,0
"44","Canada",30078,110,53.7609,-98.8139
"45","Canada",1325,7,46.5653,-66.4619
"46","Canada",412,1,53.1355,-57.6604
"47","Canada",36,0,64.8255,-124.8457
"48","Canada",1584,0,44.682,-63.7443
"49","Canada",296,0,70.2998,-83.1076
"50","Canada",280088,1784,51.2538,-85.3232
"51","Canada",112,0,46.5107,-63.4168
"52","Canada",267773,1101,52.9399,-73.5491
"53","Canada",13,0,NA,NA
"54","Canada",24946,266,52.9399,-106.4509
"55","Canada",70,0,64.2823,-135
"56","Central African Republic",4989,0,6.6111,20.9394
"57","Chad",3450,17,15.4542,18.7322
"58","Chile",744019,3782,-35.6751,-71.543
"59","China",994,0,31.8257,117.2264
"60","China",1044,0,40.1824,116.4142
"61","China",591,0,30.0572,107.874
"62","China",545,0,26.0789,117.9874
