"","Country","cases","date","day","rate"
"28","France",100,2020-03-01,0,NA
"30","Germany",79,2020-03-01,0,NA
"39","Italy",1128,2020-03-01,0,NA
"40","Japan",241,2020-03-01,0,NA
"63","Spain",45,2020-03-01,0,NA
"69","United Kingdom",23,2020-03-01,0,NA
"70","United States",70,2020-03-01,0,NA
"1","Switzerland",22,2020-03-01,0,NA
"33","France",130,2020-03-02,0.693147180559945,30
"35","Germany",130,2020-03-02,0.693147180559945,51
"44","Italy",1694,2020-03-02,0.693147180559945,566
"45","Japan",256,2020-03-02,0.693147180559945,15
"68","Spain",84,2020-03-02,0.693147180559945,39
"74","United Kingdom",36,2020-03-02,0.693147180559945,13
"75","United States",76,2020-03-02,0.693147180559945,6
"11","Switzerland",42,2020-03-02,0.693147180559945,20
"351","France",191,2020-03-03,1.09861228866811,61
"37","Germany",159,2020-03-03,1.09861228866811,29
"47","Italy",2036,2020-03-03,1.09861228866811,342
"48","Japan",274,2020-03-03,1.09861228866811,18
"76","Spain",120,2020-03-03,1.09861228866811,36
"82","United Kingdom",40,2020-03-03,1.09861228866811,4
"83","United States",101,2020-03-03,1.09861228866811,25
"12","Switzerland",55,2020-03-03,1.09861228866811,13
"401","France",204,2020-03-04,1.38629436111989,13
"42","Germany",196,2020-03-04,1.38629436111989,37
"52","Italy",2502,2020-03-04,1.38629436111989,466
"53","Japan",293,2020-03-04,1.38629436111989,19
"821","Spain",165,2020-03-04,1.38629436111989,45
"89","United Kingdom",51,2020-03-04,1.38629436111989,11
"90","United States",122,2020-03-04,1.38629436111989,21
"13","Switzerland",77,2020-03-04,1.38629436111989,22
"421","France",285,2020-03-05,1.6094379124341,81
"441","Germany",262,2020-03-05,1.6094379124341,66
"56","Italy",3089,2020-03-05,1.6094379124341,587
"57","Japan",331,2020-03-05,1.6094379124341,38
"891","Spain",222,2020-03-05,1.6094379124341,57
"97","United Kingdom",85,2020-03-05,1.6094379124341,34
"98","United States",153,2020-03-05,1.6094379124341,31
"14","Switzerland",111,2020-03-05,1.6094379124341,34
"471","France",377,2020-03-06,1.79175946922805,92
"49","Germany",482,2020-03-06,1.79175946922805,220
"61","Italy",3858,2020-03-06,1.79175946922805,769
"62","Japan",360,2020-03-06,1.79175946922805,29
"971","Spain",259,2020-03-06,1.79175946922805,37
"105","United Kingdom",115,2020-03-06,1.79175946922805,30
"106","United States",221,2020-03-06,1.79175946922805,68
"15","Switzerland",164,2020-03-06,1.79175946922805,53
"51","France",653,2020-03-07,1.94591014905531,276
"531","Germany",670,2020-03-07,1.94591014905531,188
"66","Italy",4636,2020-03-07,1.94591014905531,778
"67","Japan",420,2020-03-07,1.94591014905531,60
"1051","Spain",400,2020-03-07,1.94591014905531,141
"114","United Kingdom",163,2020-03-07,1.94591014905531,48
"115","United States",278,2020-03-07,1.94591014905531,57
"16","Switzerland",258,2020-03-07,1.94591014905531,94
"521","France",949,2020-03-08,2.07944154167984,296
"55","Germany",799,2020-03-08,2.07944154167984,129
"681","Italy",5883,2020-03-08,2.07944154167984,1247
"691","Japan",461,2020-03-08,2.07944154167984,41
"108","Spain",500,2020-03-08,2.07944154167984,100
"117","United Kingdom",206,2020-03-08,2.07944154167984,43
"118","United States",417,2020-03-08,2.07944154167984,139
"17","Switzerland",328,2020-03-08,2.07944154167984,70
"54","France",1126,2020-03-09,2.19722457733622,177
"571","Germany",1040,2020-03-09,2.19722457733622,241
"701","Italy",7375,2020-03-09,2.19722457733622,1492
"71","Japan",502,2020-03-09,2.19722457733622,41
"113","Spain",673,2020-03-09,2.19722457733622,173
"122","United Kingdom",273,2020-03-09,2.19722457733622,67
"123","United States",537,2020-03-09,2.19722457733622,120
"18","Switzerland",361,2020-03-09,2.19722457733622,33
"572","France",1209,2020-03-10,2.30258509299405,83
"60","Germany",1176,2020-03-10,2.30258509299405,136
"73","Italy",9172,2020-03-10,2.30258509299405,1797
"741","Japan",511,2020-03-10,2.30258509299405,9
"116","Spain",1073,2020-03-10,2.30258509299405,400
"125","United Kingdom",321,2020-03-10,2.30258509299405,48
"126","United States",605,2020-03-10,2.30258509299405,68
"19","Switzerland",489,2020-03-10,2.30258509299405,128
"611","France",1784,2020-03-11,2.39789527279837,575
"64","Germany",1457,2020-03-11,2.39789527279837,281
"77","Italy",10149,2020-03-11,2.39789527279837,977
"78","Japan",581,2020-03-11,2.39789527279837,70
"1231","Spain",1695,2020-03-11,2.39789527279837,622
"132","United Kingdom",383,2020-03-11,2.39789527279837,62
"133","United States",959,2020-03-11,2.39789527279837,354
"110","Switzerland",628,2020-03-11,2.39789527279837,139
"631","France",2284,2020-03-12,2.484906649788,500
"661","Germany",1908,2020-03-12,2.484906649788,451
"781","Italy",12462,2020-03-12,2.484906649788,2313
"80","Japan",639,2020-03-12,2.484906649788,58
"1251","Spain",2277,2020-03-12,2.484906649788,582
"135","United Kingdom",459,2020-03-12,2.484906649788,76
"136","United States",1281,2020-03-12,2.484906649788,322
"111","Switzerland",855,2020-03-12,2.484906649788,227
"65","France",2284,2020-03-13,2.56494935746154,NA
"682","Germany",2078,2020-03-13,2.56494935746154,170
"81","Italy",12462,2020-03-13,2.56494935746154,NA
"831","Japan",639,2020-03-13,2.56494935746154,NA
"128","Spain",2277,2020-03-13,2.56494935746154,NA
"138","United Kingdom",459,2020-03-13,2.56494935746154,NA
"139","United States",1663,2020-03-13,2.56494935746154,382
"112","Switzerland",1108,2020-03-13,2.56494935746154,253
"702","France",3667,2020-03-14,2.63905732961526,1383
"731","Germany",3675,2020-03-14,2.63905732961526,1597
"88","Italy",17660,2020-03-14,2.63905732961526,5198
"901","Japan",701,2020-03-14,2.63905732961526,62
"1361","Spain",5232,2020-03-14,2.63905732961526,2955
"147","United Kingdom",801,2020-03-14,2.63905732961526,342
"148","United States",2179,2020-03-14,2.63905732961526,516
"119","Switzerland",1350,2020-03-14,2.63905732961526,242
"711","France",4480,2020-03-15,2.70805020110221,813
"751","Germany",4585,2020-03-15,2.70805020110221,910
"93","Italy",21157,2020-03-15,2.70805020110221,3497
"95","Japan",773,2020-03-15,2.70805020110221,72
"149","Spain",6391,2020-03-15,2.70805020110221,1159
"163","United Kingdom",1143,2020-03-15,2.70805020110221,342
"164","United States",2726,2020-03-15,2.70805020110221,547
"120","Switzerland",2181,2020-03-15,2.70805020110221,831
"742","France",4513,2020-03-16,2.77258872223978,33
"771","Germany",5795,2020-03-16,2.77258872223978,1210
"951","Italy",24747,2020-03-16,2.77258872223978,3590
"972","Japan",839,2020-03-16,2.77258872223978,66
"151","Spain",7798,2020-03-16,2.77258872223978,1407
"165","United Kingdom",1144,2020-03-16,2.77258872223978,NA
"166","United States",3499,2020-03-16,2.77258872223978,773
"121","Switzerland",2181,2020-03-16,2.77258872223978,NA
"752","France",6650,2020-03-17,2.83321334405622,2137
"79","Germany",7272,2020-03-17,2.83321334405622,1477
"99","Italy",27980,2020-03-17,2.83321334405622,3233
"101","Japan",825,2020-03-17,2.83321334405622,-14
"159","Spain",9942,2020-03-17,2.83321334405622,2144
"174","United Kingdom",1551,2020-03-17,2.83321334405622,407
"175","United States",4632,2020-03-17,2.83321334405622,1133
